host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_90,number_of_reviews,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,log_competition_count_1000m,inner_500_devided_1000,host_non_exposure,hosting_period,calculated_entire_rate,calculated_private_rate,calculated_shared_rate,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1.0,3.0,1.0,0.8,0,1,2.0,1.0,1.0,1.0,30.0,30.0,90.0,90.0,2.0,6.0,9.0,0.0,60.0,4.78,4.89,4.44,4.56,4.56,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0,2.0,1.0,127.0,5.652489180268651,0.3204225352112676,1,50.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.67,0,1,2.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,19.0,79.0,7.0,0.0,0.0,5.0,5.0,5.0,5.0,4.43,0,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,41.0,3.0,1.0,112.0,5.541263545158426,0.2755905511811024,1,71.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.8,1,1,8.0,2.5,4.0,5.0,30.0,30.0,300.0,300.0,0.0,42.0,1.0,0.0,60.0,5.0,5.0,5.0,5.0,5.0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,55.0,2.0,1.0,185.0,5.575949103146316,0.1787072243346007,1,7.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,2.0,1.0,0.67,0,1,2.0,1.0,1.0,1.0,30.0,30.0,90.0,90.0,0.0,0.0,4.0,0.0,240.0,4.25,4.5,4.5,3.75,4.25,0,1,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,4.0,0.0,36.0,5.3981627015177525,0.2772727272727273,0,12.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.87,1,1,2.0,1.5,1.0,2.0,30.0,30.0,730.0,730.0,7.0,7.0,42.0,0.0,180.0,4.86,4.9,4.95,4.76,4.83,0,1,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,66.0,7.0,0.0,112.0,6.1779441140506,0.2827442827442827,1,103.0,0.3333333333333333,0.6666666666666666,0.0,False,True,False,False,True,False
1.0,0.0,1.0,0.94,0,1,2.0,1.5,1.0,2.0,30.0,30.0,60.0,60.0,28.0,88.0,36.0,0.0,0.0,4.71,4.74,4.77,4.51,4.74,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,137.0,6.137727054086234,0.2878787878787879,1,142.0,0.0,1.0,0.0,False,True,False,False,True,False
1.0,0.0,1.0,0.94,0,1,1.0,1.0,1.0,2.0,30.0,30.0,30.0,30.0,27.0,87.0,2.0,0.0,0.0,5.0,4.5,5.0,5.0,5.0,0,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,2.0,0.0,160.0,5.455321115357702,0.3562231759656652,1,20.0,0.0,1.0,0.0,False,True,False,False,False,False
4.0,1.0,1.0,1.0,0,1,2.0,1.0,1.0,1.0,1.0,1.0,28.0,731.0,30.0,78.0,1.0,1.0,13.0,5.0,5.0,5.0,5.0,5.0,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,5.0,5.707110264748875,0.4933333333333333,0,1.0,0.0,1.0,0.0,False,True,False,True,False,False
1.0,1.0,1.0,0.97,1,1,4.0,1.0,2.0,3.0,30.0,30.0,1125.0,1125.0,0.0,0.0,5.0,0.0,120.0,5.0,5.0,5.0,4.8,4.8,0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,54.0,6.0,0.0,40.0,4.624972813284271,0.1188118811881188,0,27.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,0.86,0.75,0,1,4.0,1.0,2.0,1.0,30.0,30.0,365.0,365.0,20.0,41.0,2.0,0.0,60.0,3.0,3.5,3.0,5.0,3.0,0,1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,55.0,5.123963979403259,0.4251497005988024,0,14.0,0.5,0.5,0.0,False,False,False,False,False,False
