id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,price
45922753.0,40.70758,-73.94346,Williamsburg,Brooklyn,250.0
32990477.0,40.71557,-73.96641,Williamsburg,Brooklyn,265.0
4862917.0,40.681870984379785,-73.97225610231081,Prospect Heights,Brooklyn,623.0
1.0682199158783654e+18,40.70008684837952,-73.91258297369244,Bushwick,Brooklyn,93.0
9770459.0,40.6829,-73.9398,Bedford-Stuyvesant,Brooklyn,58.0
819956.0,40.68593,-73.93254,Bedford-Stuyvesant,Brooklyn,55.0
8.586792731960454e+17,40.71558922841113,-73.94286669048081,Williamsburg,Brooklyn,336.0
1.268950356586184e+18,40.7117016,-73.9628764,Williamsburg,Brooklyn,187.0
7.568866602772204e+17,40.648,-73.93577,East Flatbush,Brooklyn,200.0
1.0042936030401554e+18,40.67596,-73.9786,Park Slope,Brooklyn,126.0
7.463735856636545e+17,40.67472,-73.95492,Crown Heights,Brooklyn,275.0
9.435628115060428e+17,40.70996,-73.9636,Williamsburg,Brooklyn,351.0
12135851.0,40.67586,-73.9451,Crown Heights,Brooklyn,175.0
1.1557846744751603e+18,40.62116,-74.0299,Fort Hamilton,Brooklyn,74.0
286662.0,40.67223,-73.95556,Crown Heights,Brooklyn,120.0
48427492.0,40.68369,-73.93592,Bedford-Stuyvesant,Brooklyn,121.0
6460353.0,40.65651,-73.96187,Prospect-Lefferts Gardens,Brooklyn,131.0
48017619.0,40.64256,-73.94523,East Flatbush,Brooklyn,70.0
45623054.0,40.67177,-73.94899,Crown Heights,Brooklyn,194.0
9.906864616341696e+17,40.66529421855038,-73.88192691352262,East New York,Brooklyn,180.0
8.16631469133589e+17,40.66892,-73.93036,Crown Heights,Brooklyn,90.0
44416142.0,40.69008,-73.99213,Boerum Hill,Brooklyn,171.0
1.3147820907186924e+18,40.63465868386114,-73.96262146660875,Flatbush,Brooklyn,88.0
17297467.0,40.64874,-73.96679,Flatbush,Brooklyn,59.0
27200105.0,40.68039,-73.94368,Bedford-Stuyvesant,Brooklyn,431.0
9.907233309528628e+17,40.67275805301372,-73.93155354265423,Crown Heights,Brooklyn,240.0
45327468.0,40.68704,-73.9458,Bedford-Stuyvesant,Brooklyn,108.0
14911767.0,40.66892,-73.98114,Park Slope,Brooklyn,350.0
7.336435134681764e+17,40.71573,-73.93877,Williamsburg,Brooklyn,275.0
32241239.0,40.63269,-73.92817,Flatlands,Brooklyn,133.0
1009883.0,40.68272,-73.99204,Carroll Gardens,Brooklyn,356.0
82928.0,40.68433,-73.94469,Bedford-Stuyvesant,Brooklyn,165.0
40797425.0,40.64332,-73.95544,Flatbush,Brooklyn,270.0
47939524.0,40.67765,-73.94478,Crown Heights,Brooklyn,45.0
5.889717223049124e+17,40.64486,-73.94882,East Flatbush,Brooklyn,107.0
6.121467953119218e+17,40.71143,-73.94305,Williamsburg,Brooklyn,150.0
1.1122652076646964e+18,40.67557747716714,-73.88888166714942,East New York,Brooklyn,55.0
44595136.0,40.72084,-73.96072,Williamsburg,Brooklyn,150.0
15857118.0,40.68373,-73.93885,Bedford-Stuyvesant,Brooklyn,320.0
8.31287359195265e+17,40.6498954,-74.0036263,Sunset Park,Brooklyn,120.0
14913941.0,40.67714,-73.95366,Crown Heights,Brooklyn,70.0
1.146548371745389e+18,40.66895873392753,-73.97445595698113,Park Slope,Brooklyn,200.0
5.851166108195374e+17,40.67655,-73.96235,Crown Heights,Brooklyn,250.0
1.1914047393260037e+18,40.636329168226325,-74.0237341432187,Bay Ridge,Brooklyn,169.0
9.955161490515036e+17,40.65213,-73.96321,Flatbush,Brooklyn,220.0
9.000368616188296e+17,40.70169,-73.91808,Bushwick,Brooklyn,269.0
106647.0,40.68647,-73.95862,Bedford-Stuyvesant,Brooklyn,161.0
6764316.0,40.70461,-73.98776,DUMBO,Brooklyn,244.0
33271828.0,40.66307,-73.99251,Sunset Park,Brooklyn,154.0
7.976636372494319e+17,40.69976,-73.93875,Bushwick,Brooklyn,50.0
5.77657240307523e+17,40.65633,-73.95311,Prospect-Lefferts Gardens,Brooklyn,140.0
1.2268995840802732e+18,40.63904,-73.93365,East Flatbush,Brooklyn,82.0
1.3385445766768038e+18,40.6893476167324,-73.92766706166854,Bedford-Stuyvesant,Brooklyn,10.0
10355146.0,40.67811,-73.95209,Crown Heights,Brooklyn,150.0
45286461.0,40.68034,-73.99291,Carroll Gardens,Brooklyn,375.0
8816022.0,40.63806,-73.90757,Canarsie,Brooklyn,393.0
40511239.0,40.7141,-73.95104,Williamsburg,Brooklyn,182.0
1.0843148588746294e+18,40.630705,-73.8878273,Canarsie,Brooklyn,160.0
54364623.0,40.6893,-73.95454,Bedford-Stuyvesant,Brooklyn,215.0
19803208.0,40.67905,-73.94168,Bedford-Stuyvesant,Brooklyn,200.0
35548721.0,40.69595,-73.92627,Bushwick,Brooklyn,49.0
1.0754394388878268e+18,40.6640222,-73.979525,South Slope,Brooklyn,200.0
7.912000594743818e+17,40.63298,-73.93081,East Flatbush,Brooklyn,152.0
7.226674590854806e+17,40.6473,-73.90776,Canarsie,Brooklyn,110.0
7.814475537726332e+17,40.70447,-73.91964,Bushwick,Brooklyn,216.0
7.509382258560548e+17,40.64382577075339,-74.0158490821652,Sunset Park,Brooklyn,209.0
44350115.0,40.68154,-73.95622,Bedford-Stuyvesant,Brooklyn,142.0
28334760.0,40.6863876,-73.985789,Boerum Hill,Brooklyn,144.0
1.147174224210376e+18,40.688612366962886,-73.91986261408924,Bushwick,Brooklyn,78.0
8.31167886889727e+17,40.69679,-73.91672,Bushwick,Brooklyn,56.0
50661588.0,40.6833,-73.98688,Gowanus,Brooklyn,695.0
9.886870660209652e+17,40.67604856939594,-73.8853904040847,East New York,Brooklyn,299.0
46565079.0,40.7102,-73.96058,Williamsburg,Brooklyn,130.0
9.181307357151712e+17,40.68072,-73.93154,Bedford-Stuyvesant,Brooklyn,270.0
26874462.0,40.66995,-73.97994,Park Slope,Brooklyn,149.0
