description,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,host_category,host_non_exposure,hosting_period,recent_last_review,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1,1.0,1,1.0,1.0,1.0,0,7.0,12.0,1,0,1.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,60.0,90.0,90.0,3.0,1.0,0.0,90.0,60.0,4.67,4.67,4.67,5.0,5.0,4.67,4.33,0,1,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,27.0,5.0,0.0,153.0,1,1,32.0,9.0,False,True,False,False,False,False
1,1.0,1,1.0,1.0,0.97,0,5255.0,5458.0,1,1,2.0,1.0,1.0,1.0,31.0,334.0,1125.0,1125.0,1.0,31.0,61.0,336.0,1.0,0.0,0.0,276.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1194.0,1194.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,5.0,0.0,99.0,2,1,14.0,14.0,False,False,False,False,False,False
1,1.0,0,1.0,1.0,1.0,0,20.0,40.0,1,0,2.0,1.0,0.0,1.0,1.0,1.0,1125.0,1125.0,30.0,33.0,33.0,33.0,19.0,7.0,0.0,33.0,90.0,4.74,4.89,4.84,4.68,4.89,4.47,4.47,1,1,20.0,0.0,20.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,2.0,0.0,116.0,2,1,42.0,2.0,False,True,False,True,False,False
1,4.0,0,0.0,1.0,1.0,0,1.0,3.0,1,0,4.0,0.0,1.0,2.0,30.0,30.0,78.0,120.0,30.0,60.0,90.0,270.0,1.0,1.0,0.0,270.0,60.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,4.0,0.0,11.0,0,1,8.0,8.0,False,False,False,False,False,False
1,1.0,1,0.0,1.0,0.91,0,1.0,4.0,1,0,2.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,60.0,90.0,270.0,1.0,0.0,0.0,270.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,120.0,0,1,16.0,16.0,False,True,False,False,False,False
1,1.0,1,1.0,1.0,0.86,1,2.0,2.0,1,1,2.0,1.0,1.0,2.0,30.0,30.0,1125.0,1125.0,0.0,4.0,13.0,278.0,97.0,5.0,0.0,218.0,255.0,4.97,4.96,4.95,4.94,4.99,5.0,4.81,0,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,6.0,1.0,112.0,1,0,103.0,3.0,False,False,False,False,False,False
1,4.0,0,1.0,1.0,1.0,0,7.0,50.0,1,0,2.0,1.0,0.0,1.0,1.0,1.0,1125.0,1125.0,14.0,14.0,14.0,14.0,9.0,3.0,0.0,14.0,38.0,4.56,4.56,4.56,4.56,4.56,5.0,4.67,1,1,7.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,50.0,1,1,47.0,2.0,False,True,False,True,False,False
1,1.0,1,2.0,1.0,0.99,1,303.0,1106.0,1,1,3.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,0.0,0.0,24.0,294.0,1.0,0.0,0.0,239.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,134.0,134.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,6.0,0.0,125.0,2,1,36.0,36.0,False,False,False,False,False,False
1,2.0,1,1.0,1.0,0.77,0,125.0,210.0,1,1,2.0,1.0,1.0,1.0,30.0,30.0,268.0,268.0,29.0,59.0,89.0,364.0,2.0,0.0,0.0,304.0,0.0,3.5,4.0,4.0,4.0,4.0,5.0,4.0,0,1,49.0,30.0,19.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.0,1.0,0.0,125.0,2,1,24.0,19.0,False,True,False,False,False,False
1,1.0,1,4.0,0.41,0.59,0,20.0,20.0,1,0,1.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,28.0,58.0,88.0,271.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,20.0,9.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,5.0,0.0,6.0,2,0,32.0,4.0,False,True,False,False,False,False
