id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,price
6.384524679108801e+17,40.80012,-73.96015,Upper West Side,Manhattan,110.0
42806766.0,40.7604361,-73.96852299999999,Midtown,Manhattan,429.0
49013421.0,40.75279,-73.99508,Chelsea,Manhattan,212.0
1.1390084307280836e+18,40.75002056884181,-73.99496648559347,Chelsea,Manhattan,156.0
9.339047776834474e+17,40.7960781,-73.9686001,Upper West Side,Manhattan,180.0
9735957.0,40.72274,-73.99453,Nolita,Manhattan,395.0
49124533.0,40.74693,-73.99274,Chelsea,Manhattan,156.0
49341497.0,40.76989,-73.95732,Upper East Side,Manhattan,173.0
8.429233121307487e+17,40.7550775,-73.9810571,Midtown,Manhattan,164.0
1.2957206057435853e+18,40.72628,-73.99067,East Village,Manhattan,63.0
7.833247497667969e+17,40.74905,-73.98238,Midtown,Manhattan,150.0
1.1105807508959912e+18,40.75781823565256,-73.98547918174252,Theater District,Manhattan,170.0
6.103974478418551e+17,40.86753,-73.92257,Inwood,Manhattan,55.0
8.484344049886651e+17,40.75102,-73.98142,Midtown,Manhattan,124.0
48316284.0,40.74506,-73.98891,Midtown,Manhattan,207.0
5695055.0,40.77266,-73.95535,Upper East Side,Manhattan,191.0
47356150.0,40.7262,-73.97773,East Village,Manhattan,139.0
49089859.0,40.75044,-73.99576,Chelsea,Manhattan,88.0
9.641213838274148e+17,40.83464888989701,-73.94142092673877,Washington Heights,Manhattan,110.0
29509877.0,40.74721,-73.98795,Midtown,Manhattan,257.0
1.1644484571210074e+18,40.74979348408771,-73.9841608703239,Midtown,Manhattan,215.0
7.62241527257255e+17,40.78169,-73.94746,Upper East Side,Manhattan,155.0
44506958.0,40.74655,-73.98884,Midtown,Manhattan,192.0
8.239529718537422e+17,40.7462,-73.99292,Chelsea,Manhattan,102.0
34593055.0,40.782004,-73.976026,Upper West Side,Manhattan,514.0
1.0210149445357784e+18,40.74396,-73.98269,Midtown,Manhattan,168.0
9.045353984604384e+17,40.7559163,-73.9821398,Midtown,Manhattan,105.0
6.643972292631484e+17,40.74385,-73.99233,Chelsea,Manhattan,332.0
20912594.0,40.75938,-73.99167,Hell's Kitchen,Manhattan,125.0
9.608635542729948e+17,40.745168,-73.9898668,Midtown,Manhattan,287.0
8.622684580105073e+17,40.71959869823969,-73.99175867799167,Lower East Side,Manhattan,142.0
1.2622299446796073e+18,40.74986119999999,-73.9971794,Chelsea,Manhattan,90.0
9.072470401320558e+17,40.74616613633807,-73.99184224376063,Chelsea,Manhattan,258.0
27192720.0,40.72239,-73.99314,Lower East Side,Manhattan,298.0
1.0363029250528524e+18,40.80041021264202,-73.96042232251061,Upper West Side,Manhattan,256.0
48317954.0,40.79067,-73.97028,Upper West Side,Manhattan,169.0
1.148779217624178e+18,40.76098,-73.96491,Upper East Side,Manhattan,449.0
6.738919494094934e+17,40.80835,-73.93862,East Harlem,Manhattan,124.0
1932110.0,40.72241,-73.99119,Lower East Side,Manhattan,140.0
1.114771396821136e+18,40.76557644554736,-73.99485878758834,Hell's Kitchen,Manhattan,753.0
47373597.0,40.75947,-73.96132,Upper East Side,Manhattan,164.0
1.0336650253672772e+18,40.73157,-74.00169,West Village,Manhattan,438.0
7.261911360457331e+17,40.73522,-73.97747,Stuyvesant Town,Manhattan,150.0
30034070.0,40.74619,-73.9871,Midtown,Manhattan,166.0
6.957576115571466e+17,40.80505,-73.95682,Harlem,Manhattan,63.0
52235688.0,40.72537,-73.97839,East Village,Manhattan,286.0
54245163.0,40.76222,-73.96198,Upper East Side,Manhattan,115.0
46791082.0,40.7612476,-73.9918935,Hell's Kitchen,Manhattan,145.0
17943407.0,40.73135,-73.98486,East Village,Manhattan,103.0
5.88748105671065e+17,40.76068,-73.98822,Hell's Kitchen,Manhattan,500.0
48805600.0,40.74401,-73.9906,Flatiron District,Manhattan,290.0
8.123633616790779e+17,40.76632068609247,-73.97800010541839,Midtown,Manhattan,592.0
1.3233046603030682e+18,40.72006,-73.99389,Lower East Side,Manhattan,51.0
6.73945070295034e+17,40.7707911,-73.95750079999999,Upper East Side,Manhattan,211.0
1.216120758101271e+18,40.72612,-73.97803,East Village,Manhattan,165.0
1.157225718519495e+18,40.74075508914574,-73.99948617285473,Chelsea,Manhattan,412.0
9.68909763063438e+17,40.76115379757485,-73.99080341534382,Hell's Kitchen,Manhattan,80.0
8458966.0,40.76507,-73.96606,Upper East Side,Manhattan,104.0
37563932.0,40.75917,-73.96155,Midtown,Manhattan,137.0
1655550.0,40.76584,-73.98762,Hell's Kitchen,Manhattan,197.0
50702550.0,40.74987,-73.99716,Chelsea,Manhattan,93.0
9.005231986990966e+17,40.780731498344025,-73.94789010496959,Upper East Side,Manhattan,93.0
5.642292802255041e+17,40.80749,-73.94769,Harlem,Manhattan,143.0
1.0652620563660216e+18,40.719765,-73.988102,Lower East Side,Manhattan,257.0
7.624804815807356e+17,40.86764,-73.92759,Inwood,Manhattan,169.0
1.0762944272674068e+18,40.80517,-73.95683,Harlem,Manhattan,54.0
52107496.0,40.74363,-73.98137,Kips Bay,Manhattan,75.0
1.1930161300871718e+18,40.74172,-74.00275,Chelsea,Manhattan,79.0
6.491712344574834e+17,40.81747,-73.94556,Harlem,Manhattan,476.0
1.1378240541960526e+18,40.75482,-73.97167,Midtown,Manhattan,252.0
47396746.0,40.74768,-73.98693,Midtown,Manhattan,109.0
1.0037331323147884e+18,40.78525543038848,-73.97266888176442,Upper West Side,Manhattan,170.0
51621583.0,40.7343,-73.98509,Gramercy,Manhattan,90.0
1.1559942084213809e+18,40.76058,-73.99021,Hell's Kitchen,Manhattan,64.0
8.999981864055045e+17,40.75886640261544,-73.99126331984795,Hell's Kitchen,Manhattan,121.0
8.148926344562113e+17,40.7283282400765,-73.9835363,East Village,Manhattan,270.0
7.08883217066615e+17,40.71949,-74.00105,SoHo,Manhattan,164.0
1.2451039231390968e+18,40.7204175444862,-73.99398263106512,Lower East Side,Manhattan,240.0
14043464.0,40.73165,-73.98435,East Village,Manhattan,185.0
