host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_90,number_of_reviews,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,log_competition_count_1000m,inner_500_devided_1000,host_non_exposure,hosting_period,calculated_entire_rate,calculated_private_rate,calculated_shared_rate,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
4.0,2.0,1.0,0.83,0,0,3.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,90.0,1.0,0.0,60.0,1.0,1.0,4.0,1.0,1.0,0,1,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,53.0,3.4339872044851463,0.3666666666666666,1,5.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.79,1,1,1.0,1.0,1.0,1.0,30.0,30.0,120.0,120.0,27.0,87.0,13.0,0.0,0.0,4.77,4.38,4.69,4.77,4.62,0,1,18.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,151.0,5.241747015059643,0.2659574468085106,1,148.0,0.0,1.0,0.0,False,True,False,False,False,False
4.0,3.0,1.0,0.5,0,1,6.0,2.0,3.0,3.0,30.0,30.0,90.0,90.0,0.0,0.0,2.0,0.0,60.0,5.0,5.0,5.0,5.0,5.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,2.0,0.0,21.0,3.6635616461296463,0.9736842105263158,0,15.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,1.0,1.0,0.96,0,1,2.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,0.0,0.0,66.0,0.0,0.0,4.79,4.89,4.78,4.76,4.84,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,5.0,0.0,152.0,4.574710978503383,0.3541666666666667,1,133.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,1.0,1.0,0.87,1,0,3.0,1.0,1.0,1.0,1.0,2.0,1125.0,1125.0,19.0,66.0,170.0,1.0,255.0,4.94,4.94,4.96,4.92,4.79,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,2.0,0.0,123.0,1.3862943611198906,0.6666666666666666,0,58.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,0.0,1.0,0.96,0,1,2.0,1.0,2.0,2.0,31.0,31.0,31.0,31.0,29.0,89.0,209.0,0.0,0.0,4.92,4.98,4.97,4.74,4.89,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,5.0,0.0,104.0,3.218875824868201,0.4166666666666667,0,83.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,1.0,0.99,0.82,0,1,1.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,28.0,58.0,2.0,0.0,0.0,4.0,4.5,4.5,5.0,4.0,0,1,231.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,4.0,0.0,80.0,4.3694478524670215,0.3461538461538461,1,22.0,0.0173160173160173,0.9826839826839828,0.0,False,True,False,False,True,False
1.0,0.0,1.0,1.0,1,1,4.0,1.0,2.0,2.0,30.0,30.0,1125.0,1125.0,8.0,39.0,38.0,0.0,255.0,4.95,4.92,4.89,4.95,4.92,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40.0,5.0,1.0,65.0,3.8918202981106265,0.625,0,34.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,0.0,1.0,0.96,0,1,7.0,1.0,1.0,1.0,1.0,3.0,1125.0,1125.0,10.0,40.0,63.0,1.0,255.0,4.9,4.89,4.83,4.87,4.89,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,6.0,0.0,79.0,4.543294782270004,0.2688172043010752,0,21.0,0.0,1.0,0.0,False,True,False,False,False,False
4.0,0.0,1.0,1.0,0,1,5.0,1.0,2.0,0.0,30.0,30.0,1125.0,1125.0,29.0,89.0,11.0,0.0,0.0,4.45,4.73,4.36,4.82,4.55,0,1,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,58.0,4.0,0.0,49.0,4.875197323201151,0.3153846153846154,0,23.0,0.5,0.5,0.0,False,True,False,False,False,False
4.0,1.0,1.0,0.99,1,1,2.0,1.0,1.0,2.0,1.0,2.0,1125.0,1125.0,24.0,76.0,114.0,3.0,255.0,4.81,4.84,4.68,4.76,4.68,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,4.0,1.0,21.0,4.174387269895637,0.265625,0,20.0,0.0,1.0,0.0,False,True,False,False,True,False
1.0,0.0,1.0,0.0,0,1,3.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,90.0,83.0,0.0,0.0,4.42,4.53,4.41,4.3,4.35,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,31.0,3.0,0.0,104.0,3.332204510175204,0.2962962962962963,0,103.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.94,1,1,4.0,2.0,2.0,3.0,30.0,30.0,1125.0,1125.0,30.0,49.0,39.0,0.0,120.0,4.82,4.77,4.92,4.67,4.72,0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,38.0,4.0,0.0,96.0,4.02535169073515,0.4,1,55.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,0.9,0.95,0,1,1.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,90.0,4.0,1.0,120.0,5.0,5.0,4.75,5.0,5.0,0,1,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,2.0,0.0,83.0,2.6390573296152584,0.3076923076923077,0,17.0,0.1428571428571428,0.8571428571428571,0.0,False,True,False,False,True,False
1.0,2.0,0.9,0.88,1,1,6.0,1.5,3.0,5.0,30.0,30.0,120.0,120.0,2.0,32.0,17.0,0.0,180.0,4.76,4.76,4.47,4.47,4.29,0,1,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,4.0,0.0,42.0,4.248495242049359,0.2318840579710145,0,22.0,1.0,0.0,0.0,False,False,False,False,True,False
2.0,1.0,0.94,0.99,0,1,2.0,1.0,0.0,1.0,1.0,3.0,1125.0,1125.0,30.0,90.0,2.0,0.0,26.0,3.0,3.0,3.0,3.0,3.0,1,1,48.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,2.0,0.0,120.0,4.897839799950911,0.2406015037593984,1,4.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,2.0,1.0,0.81,1,1,3.0,1.0,1.0,1.0,30.0,30.0,360.0,360.0,0.0,0.0,12.0,0.0,60.0,5.0,4.92,4.75,4.83,4.92,0,1,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,4.0,0.0,27.0,3.4657359027997265,0.4193548387096774,0,23.0,0.0,1.0,0.0,False,True,False,False,True,False
4.0,1.0,1.0,1.0,0,0,6.0,2.0,3.0,5.0,3.0,3.0,365.0,365.0,26.0,77.0,20.0,0.0,255.0,4.65,4.65,4.65,4.6,4.55,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,5.0,0.0,15.0,3.8918202981106265,0.3541666666666667,0,8.0,1.0,0.0,0.0,False,False,False,False,False,False
4.0,1.0,1.0,0.8,1,1,4.0,2.0,2.0,3.0,30.0,30.0,1125.0,1125.0,0.0,0.0,28.0,0.0,120.0,4.89,4.93,5.0,4.89,4.71,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,3.0,1.0,34.0,1.0986122886681098,0.0,1,34.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,2.0,1.0,1.0,0,1,2.0,1.0,1.0,1.0,30.0,30.0,90.0,90.0,8.0,38.0,14.0,0.0,0.0,4.93,4.93,5.0,5.0,5.0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,3.0,0.0,140.0,4.442651256490317,0.2261904761904762,0,103.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.8,0,1,2.0,1.0,1.0,1.0,30.0,30.0,35.0,35.0,29.0,89.0,1.0,0.0,60.0,4.0,3.0,4.0,3.0,3.0,0,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,36.0,1.0,0.0,90.0,3.6635616461296463,0.4736842105263157,1,10.0,0.3333333333333333,0.6666666666666666,0.0,False,True,False,False,True,False
4.0,1.0,1.0,1.0,1,1,8.0,2.0,3.0,5.0,1.0,2.0,1125.0,1125.0,9.0,15.0,67.0,1.0,243.0,4.58,4.72,4.76,4.4,4.63,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,2.0,1.0,66.0,4.204692619390966,0.303030303030303,0,25.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,2.0,0.95,0.46,0,1,1.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,90.0,1.0,0.0,60.0,4.0,4.0,4.0,5.0,5.0,0,1,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,111.0,2.4849066497880004,0.3636363636363636,1,2.0,0.0,1.0,0.0,False,True,False,False,True,False
1.0,0.0,1.0,0.96,0,1,2.0,1.0,0.0,1.0,30.0,30.0,1125.0,1125.0,28.0,88.0,16.0,0.0,0.0,4.5,4.69,4.38,4.69,4.25,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,52.0,3.688879454113936,0.282051282051282,0,22.0,1.0,0.0,0.0,False,False,False,False,True,False
4.0,1.0,1.0,1.0,1,1,2.0,1.0,2.0,2.0,30.0,30.0,30.0,30.0,27.0,87.0,1.0,0.0,60.0,5.0,5.0,5.0,5.0,5.0,0,1,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,2.4849066497880004,0.7272727272727273,1,2.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,0.98,0,1,4.0,1.0,2.0,3.0,1.0,1.0,15.0,15.0,18.0,44.0,44.0,1.0,255.0,4.36,4.39,4.36,4.34,4.3,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,56.0,5.0,0.0,47.0,4.02535169073515,0.2909090909090909,0,13.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,1.0,1.0,1.0,0,1,6.0,1.0,3.0,3.0,30.0,30.0,1125.0,1125.0,0.0,0.0,31.0,0.0,60.0,5.0,5.0,5.0,4.94,4.94,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,49.0,4.0,1.0,141.0,3.4657359027997265,0.2580645161290322,0,33.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,4.0,0.0,0.96,0,1,2.0,1.0,0.0,1.0,30.0,30.0,30.0,30.0,30.0,90.0,62.0,0.0,0.0,4.97,4.97,4.98,4.74,4.82,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.0,4.0,1.0,117.0,4.30406509320417,0.3287671232876712,0,35.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,3.0,0.92,0.84,1,1,2.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,0.0,31.0,4.0,0.0,240.0,5.0,5.0,5.0,4.75,4.75,0,1,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,44.0,7.0,0.0,141.0,2.833213344056216,0.1875,1,11.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,1.0,1.0,1.0,0,1,2.0,1.0,2.0,3.0,30.0,30.0,365.0,365.0,28.0,88.0,23.0,0.0,0.0,4.74,4.74,4.61,4.48,4.61,1,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,114.0,3.49650756146648,0.25,0,22.0,0.6666666666666666,0.3333333333333333,0.0,False,True,False,False,False,False
