id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,price
1.195285672281327e+18,40.71150979999999,-73.74052150000001,Queens Village,Other,85.0
754353.0,40.7588,-73.92815,Long Island City,Other,47.0
9.183671848139407e+17,40.586635024644494,-73.8137535835943,Rockaway Beach,Other,350.0
1325432.0,40.74267,-73.89804,Woodside,Other,74.0
43497073.0,40.58116,-73.85075,Belle Harbor,Other,114.0
24162261.0,40.75414,-73.85671,Jackson Heights,Other,130.0
7.242853284649362e+17,40.75102,-73.87833,Jackson Heights,Other,29.0
6.13230113020408e+17,40.59067,-73.79479,Arverne,Other,142.0
8.998727769560712e+17,40.777487,-73.913742,Ditmars Steinway,Other,225.0
8.333852954568806e+17,40.75784698172205,-73.91722756003796,Astoria,Other,200.0
9.182993514149176e+17,40.7393937,-73.9052737,Maspeth,Other,76.0
14275887.0,40.70811,-73.79997,Jamaica,Other,150.0
44415969.0,40.63564,-74.08153,Tompkinsville,Other,199.0
9.125103764024516e+17,40.575386971585,-74.10468258807194,Midland Beach,Other,60.0
8.62664998185425e+17,40.77179,-73.93405,Astoria,Other,165.0
1.0990067961009728e+18,40.8099445,-73.93065659999999,Port Morris,Other,134.0
8.719475165872114e+17,40.87643,-73.85734,Williamsbridge,Other,75.0
1.0725217834073156e+18,40.6766902,-73.7810409,Jamaica,Other,180.0
6.239119147510291e+17,40.52498,-74.21514,Prince's Bay,Other,171.0
1401826.0,40.74193,-73.92466,Sunnyside,Other,115.0
9.87034292790632e+17,40.69355,-73.85168,Woodhaven,Other,73.0
7.284699959830655e+17,40.80977,-73.91932,Mott Haven,Other,224.0
1.266221816823918e+18,40.685074291773816,-73.81937005059451,Richmond Hill,Other,34.0
8.052882923218016e+17,40.70339082240529,-73.76440265285852,St. Albans,Other,100.0
1.1912659938784049e+18,40.5782,-74.10963,Grant City,Other,145.0
1.0612433804597436e+18,40.66904432469008,-73.76950849761963,Jamaica,Other,174.0
5.586666860494366e+17,40.70787,-73.81196,Briarwood,Other,330.0
51197475.0,40.76065,-73.88469,East Elmhurst,Other,119.0
1.0609747245243048e+18,40.72535,-73.90415,Maspeth,Other,49.0
8.804786343004782e+17,40.68266,-73.78193,Jamaica,Other,181.0
42643177.0,40.57303,-74.08528,Midland Beach,Other,126.0
53770530.0,40.74636,-73.9174,Sunnyside,Other,80.0
